AgentID,Timestamp,Description
gcis2,1764865350.8493,SMIA in Running state
gcis2,1764865350.8703,SMIA in Running state
gcis2,1764865402.0916,SMIA in Running state
gcis2,1764865481.4405,SMIA in Running state
gcis2,1764865540.1966,SMIA in Running state
gcis2,1764865618.8283,SMIA in Running state
gcis2,1764865685.9098,SMIA in Running state
gcis2,1764865743.2136,SMIA in Running state
gcis2,1764865834.7513,SMIA in Running state
gcis2,1764866046.6370,SMIA in Running state
gcis2,1764866064.5465,SMIA in Running state
gcis2,1764866118.6673,SMIA in Running state
gcis2,1764866146.3934,SMIA in Running state
gcis2,1764866221.4379,SMIA in Running state
gcis2,1764866528.2435,SMIA in Running state
gcis2,1764866709.4104,SMIA in Running state
